Адрес,Жилая,Кухня,Общая,Цена,Цена за квадрат,Этаж,Этажность здания,Время,Способ передвижения,Координаты
"Москва, ЗАО, р-н Очаково-Матвеевское, Нежинская ул., 1к2",40.0,10.0,82.6,27000000.0,326877.0,3,31,18.0,пешком,"(55.719313, 37.478019, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Барклая ул., 7К4",20.0,,52.0,17100000.0,328846.0,6,10,7.0,пешком,"(55.739808, 37.501285, 0.0)"
"Москва, ЗАО, р-н Очаково-Матвеевское, Староволынская ул., 12к3",137.0,16.0,215.0,55000000.0,255814.0,6,23,15.0,пешком,"(55.714622, 37.476133, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Черногрязская ул., 6к3",36.0,14.0,73.0,35300000.0,483562.0,3,20,15.0,пешком,"(55.762247, 37.54904, 0.0)"
"Москва, ЮВАО, р-н Люблино, Краснодарская ул., 21",30.5,9.7,51.4,9649000.0,187724.0,13,14,10.0,пешком,"(55.67789, 37.750415, 0.0)"
"Москва, ЦАО, р-н Пресненский, Большой Тишинский пер., 10С1",60.0,18.0,93.0,59990000.0,645054.0,7,21,10.0,пешком,"(55.769094, 37.577157, 0.0)"
"Москва, ЦАО, р-н Пресненский, Средний Тишинский пер., 5/7С1",36.5,23.7,94.1,56641613.0,601930.0,14,17,10.0,пешком,"(55.769975, 37.576798, 0.0)"
"Москва, ЦАО, р-н Пресненский, Средний Тишинский пер., 5/7С1",41.3,22.2,87.1,52432458.0,601980.0,14,17,10.0,пешком,"(55.769975, 37.576798, 0.0)"
"Москва, ЮЗАО, р-н Обручевский, Ленинский просп., 111к1",,,74.4,21000000.0,282258.0,32,48,5.0,на транспорте,"(55.661328, 37.509343, 0.0)"
"Москва, СВАО, р-н Алексеевский, просп. Мира, 120",35.0,9.0,63.0,16700000.0,265079.0,6,16,5.0,пешком,"(55.811771, 37.639339, 0.0)"
"Москва, ЦАО, р-н Басманный, Подсосенский пер., 19/28",43.0,8.0,91.0,29500000.0,324176.0,3,5,5.0,пешком,"(55.756401, 37.653334, 0.0)"
"Московская область, Химки, мкр. Подрезково, ул. Новозаводская, 11",34.0,12.0,67.0,6990000.0,104328.0,10,15,20.0,на транспорте,"(55.941551, 37.34709, 0.0)"
"Москва, ЦАО, р-н Арбат, 1-й Смоленский пер., 17",,,78.0,50000000.0,641026.0,7,14,5.0,пешком,"(55.748711, 37.578514, 0.0)"
"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9к6",60.0,,96.7,45791000.0,473537.0,4,6,11.0,пешком,"(55.780891, 37.580984, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 12",,,47.7,32452838.0,680353.0,4,11,14.0,пешком,"(55.748914, 37.557304, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул., 11",,,70.0,35000000.0,500000.0,5,18,10.0,пешком,"(55.761538, 37.554214, 0.0)"
"Москва, ЗАО, р-н Можайский, Лайф Кутузовский жилой комплекс, к2",,,76.8,18900000.0,246094.0,12,25,15.0,пешком,"(55.713436, 37.436131, 0.0)"
"Москва, СВАО, р-н Отрадное, Алтуфьевское ш., 2К1",,,19.2,3168000.0,165000.0,11,16,3.0,пешком,"(55.848958, 37.587245, 0.0)"
"Москва, ЮВАО, р-н Марьино, ул. Перерва, 16",,,17.5,2787500.0,159286.0,5,6,2.0,на транспорте,"(55.651415, 37.723187, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 8",91.0,,99.0,66000000.0,666667.0,25,53,10.0,на транспорте,"(55.723257, 37.52766, 0.0)"
"Москва, ЦАО, р-н Хамовники, 3-я Фрунзенская ул., 19",,,89.0,152400000.0,1712360.0,5,9,10.0,пешком,"(55.723313, 37.571965, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Ефремова, 10к1",38.0,23.0,97.8,115000000.0,1175869.0,8,12,5.0,пешком,"(55.725331, 37.573717, 0.0)"
"Москва, ЦАО, р-н Басманный, Нижняя Красносельская ул., 35С48",54.0,6.0,70.0,23400000.0,334286.0,4,8,7.0,пешком,"(55.774948, 37.67298, 0.0)"
"Москва, ЦАО, р-н Пресненский, Тишинская пл., 6",48.0,16.0,71.0,29200000.0,411268.0,5,6,10.0,пешком,"(55.770714, 37.584245, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Космодамианская наб., 46-50С1",30.0,8.0,51.0,15000000.0,294118.0,4,9,10.0,на транспорте,"(55.735829, 37.644764, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 94к1",,,40.0,14700000.0,367500.0,11,31,10.0,пешком,"(55.652659, 37.475513, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11",,15.5,102.8,68876000.0,670000.0,7,14,8.0,пешком,"(55.726583, 37.572648, 0.0)"
"Москва, ЮЗАО, р-н Черемушки, Херсонская ул., 43",47.1,15.7,93.2,21715600.0,233000.0,7,23,2.0,на транспорте,"(55.659231, 37.560835, 0.0)"
"Москва, ЮВАО, р-н Лефортово, ш. Энтузиастов, 20",43.0,4.5,60.0,11999777.0,199996.0,6,8,1.0,пешком,"(55.750849, 37.715381, 0.0)"
"Москва, ЦАО, р-н Хамовники, Малая Пироговская ул., 8",,,95.0,79000000.0,831579.0,4,12,11.0,пешком,"(55.72961, 37.570474, 0.0)"
"Москва, САО, р-н Коптево, бул. Матроса Железняка, 11",33.9,15.0,76.0,16920000.0,222632.0,11,11,3.0,на транспорте,"(55.829193, 37.524309, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, Нахимовский просп., 73",45.0,19.0,90.0,22415000.0,249056.0,18,27,24.0,пешком,"(55.682453, 37.552373, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк1",,,109.7,18753269.0,170950.0,23,58,3.0,на транспорте,"(55.834472, 37.65805, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк1",,,128.5,24272293.0,188889.0,42,58,3.0,на транспорте,"(55.834472, 37.65805, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк1",,,108.4,19978979.0,184308.0,46,58,3.0,на транспорте,"(55.834472, 37.65805, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,64.6,14269083.0,220884.0,30,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,64.1,14210368.0,221691.0,34,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,97.1,17925583.0,184610.0,30,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,64.1,14310885.0,223259.0,30,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,96.2,18101903.0,188169.0,33,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,109.1,19105185.0,175116.0,22,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,135.1,23276339.0,172290.0,26,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,135.7,24150957.0,177973.0,31,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,69.4,15192496.0,218912.0,32,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,107.6,20374719.0,189356.0,34,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, СВАО, р-н Ростокино, просп. Мира, 188Бк3",,,68.2,15308799.0,224469.0,36,56,3.0,на транспорте,"(55.835483, 37.658338, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,53.5,29276403.0,547222.0,12,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,54.8,33319770.0,608025.0,13,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,56.4,26508000.0,470000.0,19,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,55.4,25824848.0,466152.0,22,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,63.5,30887670.0,486420.0,23,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 15",,,155.16,93647402.0,603554.0,26,26,10.0,пешком,"(55.752141, 37.592411, 0.0)"
"Москва, САО, р-н Беговой, Ленинградский просп., 29к4",20.0,10.0,38.0,12299000.0,323658.0,15,15,2.0,на транспорте,"(55.78525, 37.560395, 0.0)"
"Московская область, Балашиха, мкр. Алексеевская Роща, ул. Дмитриева, 28",,,43.5,4800000.0,110345.0,7,19,20.0,на транспорте,"(55.835366, 37.933034, 0.0)"
"Москва, ЦАО, р-н Замоскворечье, Мытная ул., 7с1",20.0,18.0,52.9,29500000.0,557656.0,7,14,8.0,пешком,"(55.722142, 37.618569, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",32.4,10.5,61.18,10798270.0,176500.0,4,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 88к4с2",40.0,12.0,80.0,24000000.0,300000.0,18,21,5.0,пешком,"(55.703971, 37.490587, 0.0)"
"Москва, ЗАО, р-н Филевский парк, Большая Филевская ул., 4",16.0,8.0,29.0,9500000.0,327586.0,10,16,5.0,на транспорте,"(55.753686, 37.513143, 0.0)"
"Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 92К1",40.0,25.0,85.5,22000000.0,257310.0,19,21,14.0,пешком,"(55.655209, 37.475935, 0.0)"
"Москва, САО, р-н Войковский, Головинское ш., 10Б",40.0,14.0,64.0,12850000.0,200781.0,5,36,10.0,пешком,"(55.837181, 37.497315, 0.0)"
"Москва, ЮАО, р-н Даниловский, ул. Серпуховский Вал, 21к2",43.4,12.8,86.7,33000000.0,380623.0,15,17,9.0,пешком,"(55.710961, 37.609227, 0.0)"
"Москва, ЗАО, р-н Раменки, Мичуринский просп., 7К1",23.0,12.0,53.0,23000000.0,433962.0,7,16,6.0,пешком,"(55.701719, 37.512236, 0.0)"
"Москва, САО, р-н Беговой, ул. 3-я Ямского Поля, 9",33.0,,42.0,22500000.0,535714.0,4,6,10.0,пешком,"(55.781626, 37.580894, 0.0)"
"Москва, ЗАО, р-н Раменки, Минская ул., 2Вк6",,,101.0,46200000.0,457426.0,2,7,5.0,на транспорте,"(55.717072, 37.506352, 0.0)"
"Московская область, Королев, мкр. Юбилейный, ул. Лесная, 12",37.0,12.0,73.0,7600000.0,104110.0,4,23,28.0,на транспорте,"(55.933948, 37.843202, 0.0)"
"Москва, ЗАО, р-н Раменки, ул. Раменки, 20",46.0,12.0,87.0,25900000.0,297701.0,7,24,5.0,пешком,"(55.689238, 37.487901, 0.0)"
"Москва, СВАО, р-н Лианозово, Псковская ул., 7К1",30.3,10.0,52.5,9450000.0,180000.0,3,19,10.0,на транспорте,"(55.904887, 37.550765, 0.0)"
"Москва, САО, р-н Войковский, ул. Адмирала Макарова, 35",29.0,6.0,43.2,7899000.0,182847.0,5,5,2.0,пешком,"(55.836175, 37.488314, 0.0)"
"Московская область, Истра городской округ, Черная деревня, ул. Садовая, 12",30.5,9.4,61.2,6132000.0,100196.0,2,4,20.0,на транспорте,"(55.840401, 37.127487, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, ул. Архитектора Власова, 6",88.2,28.2,176.8,64997100.0,367631.0,5,18,11.0,пешком,"(55.679605, 37.550333, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, ул. Архитектора Власова, 6",68.2,16.4,154.4,58751000.0,380512.0,3,18,10.0,пешком,"(55.679605, 37.550333, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, ул. Архитектора Власова, 6",64.0,19.5,122.0,44408000.0,364000.0,2,18,10.0,пешком,"(55.679605, 37.550333, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, ул. Архитектора Власова, 6",57.3,25.6,121.9,47628000.0,390714.0,8,18,10.0,пешком,"(55.679605, 37.550333, 0.0)"
"Москва, ЮВАО, р-н Марьино, Донецкая ул., 30к1",,,55.3,9774000.0,176745.0,29,32,20.0,пешком,"(55.645476, 37.707215, 0.0)"
"Москва, СЗАО, р-н Хорошево-Мневники, ул. Паршина, 10А",18.2,13.7,45.4,10700043.0,235684.0,2,20,5.0,на транспорте,"(55.78975, 37.456468, 0.0)"
"Москва, ЦАО, р-н Хамовники, ул. Усачева, 11",,,80.8,43000000.0,532178.0,3,11,10.0,пешком,"(55.726583, 37.572648, 0.0)"
"Москва, САО, р-н Аэропорт, ул. Черняховского, 19",,,72.19,18950000.0,262502.0,8,22,10.0,пешком,"(55.80916, 37.541126, 0.0)"
"Москва, САО, р-н Аэропорт, ул. Черняховского, 19",,,63.29,17950000.0,283615.0,6,22,10.0,пешком,"(55.80916, 37.541126, 0.0)"
"Москва, ЮЗАО, р-н Ломоносовский, ул. Вавилова, 69А",36.0,15.5,72.0,22700000.0,315278.0,19,19,8.0,пешком,"(55.681047, 37.551088, 0.0)"
"Москва, ЗАО, р-н Кунцево, Ельнинская ул., 20к1",35.0,10.0,54.0,14999000.0,277759.0,2,17,3.0,пешком,"(55.738931, 37.422889, 0.0)"
"Москва, ЦАО, р-н Красносельский, 3-й Красносельский пер., 19С4",,,56.9,16499975.0,289982.0,2,5,11.0,пешком,"(55.784116, 37.656002, 0.0)"
"Москва, ЦАО, р-н Тверской, Селезневская ул., 30К3",31.5,9.0,53.5,17300000.0,323364.0,9,15,3.0,пешком,"(55.780335, 37.611051, 0.0)"
"Москва, ЦАО, р-н Хамовники, Ружейный пер., 4С1",35.0,10.2,65.0,27000000.0,415385.0,4,9,8.0,пешком,"(55.743553, 37.580894, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.",14.6,24.6,60.12,29609100.0,492500.0,2,13,7.0,пешком,"(55.76015, 37.554897, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.",15.9,23.6,68.83,30457275.0,442500.0,2,13,7.0,пешком,"(55.76015, 37.554897, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.",40.4,39.0,120.21,56378490.0,469000.0,14,21,7.0,пешком,"(55.76015, 37.554897, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.",16.4,25.1,64.9,28458650.0,438500.0,7,21,7.0,пешком,"(55.76015, 37.554897, 0.0)"
"Москва, ЦАО, р-н Пресненский, 2-я Звенигородская ул.",12.6,22.1,53.89,28885040.0,536000.0,7,21,7.0,пешком,"(55.76015, 37.554897, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",35.1,11.1,67.04,11296240.0,168500.0,4,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",33.0,12.5,67.79,12016116.0,177255.0,6,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",17.7,14.0,50.59,8853250.0,175000.0,6,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",18.7,10.6,45.51,7645680.0,168000.0,2,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",18.7,10.6,45.09,8598121.0,190688.0,6,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",15.7,13.0,42.0,8853600.0,210800.0,8,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЗАО, р-н Можайский, Барвихинская ул., 6",33.1,11.6,65.7,12023100.0,183000.0,8,10,7.0,на транспорте,"(55.715824, 37.388879, 0.0)"
"Москва, ЦАО, р-н Хамовники, Погодинская ул., 4",,,113.8,82971978.0,729103.0,8,11,15.0,пешком,"(55.734973, 37.571013, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Минская ул., вл2а",,,111.3,42060202.0,377899.0,33,39,12.0,пешком,"(55.726558, 37.495869, 0.0)"
"Москва, ЗАО, р-н Дорогомилово, Минская ул., вл2а",,,96.9,37697278.0,389033.0,37,39,12.0,пешком,"(55.726558, 37.495869, 0.0)"
"Москва, ЦАО, р-н Хамовники, Погодинская ул., вл2/3",,,67.4,44631840.0,662193.0,2,13,13.0,пешком,"(55.735713, 37.572351, 0.0)"
